from_station_id,from_station_name,to_station_id,to_station_name,line_name,stop_order,length
293,Van Cortlandt Park-242 - Bx,294,238 St - Bx,1 Train,1,0.5444570179435755
294,238 St - Bx,295,231 St - Bx,1 Train,2,0.7270303630778642
295,231 St - Bx,296,Marble Hill-225 St - M,1 Train,3,0.6360777329178118
296,Marble Hill-225 St - M,297,215 St - M,1 Train,4,0.7304673828752828
297,215 St - M,298,207 St - M,1 Train,5,0.6134907533880889
298,207 St - M,299,Dyckman St - M,1 Train,6,0.724994645719378
299,Dyckman St - M,300,191 St - M,1 Train,7,0.6740617619287433
300,191 St - M,301,181 St - M,1 Train,8,0.726896403032795
301,181 St - M,302,168 St - M,1 Train,9,1.1369037933999244
302,168 St - M,303,157 St - M,1 Train,10,0.8276222404511979
303,157 St - M,304,145 St - M,1 Train,11,0.9515477189050385
304,145 St - M,305,137 St-City College - M,1 Train,12,0.5770933251789423
305,137 St-City College - M,306,125 St - M,1 Train,13,0.8166290643083758
306,125 St - M,307,116 St-Columbia University - M,1 Train,14,0.9984316544395356
307,116 St-Columbia University - M,308,Cathedral Pkwy (110 St) - M,1 Train,15,0.4768696537049404
308,Cathedral Pkwy (110 St) - M,309,103 St - M,1 Train,16,0.5189875230607629
309,103 St - M,310,96 St - M,1 Train,17,0.6985162154962519
310,96 St - M,311,86 St - M,1 Train,18,0.671984860771885
311,86 St - M,312,79 St - M,1 Train,19,0.6093242278922519
312,79 St - M,313,72 St - M,1 Train,20,0.6334987819421696
313,72 St - M,314,66 St-Lincoln Center - M,1 Train,21,0.5577833392412742
314,66 St-Lincoln Center - M,315,59 St-Columbus Circle - M,1 Train,22,0.5779164691230855
315,59 St-Columbus Circle - M,316,50 St - M,1 Train,23,0.7426959585588846
316,50 St - M,317,Times Sq-42 St - M,1 Train,24,0.7789598508372649
317,Times Sq-42 St - M,318,34 St-Penn Station - M,1 Train,25,0.6236626183876465
318,34 St-Penn Station - M,319,28 St - M,1 Train,26,0.40138422521786543
319,28 St - M,320,23 St - M,1 Train,27,0.3984010963897135
320,23 St - M,321,18 St - M,1 Train,28,0.38617590209041636
321,18 St - M,322,14 St - M,1 Train,29,0.40774525334852646
322,14 St - M,323,Christopher St-Stonewall - M,1 Train,30,0.5401408073720474
323,Christopher St-Stonewall - M,324,Houston St - M,1 Train,31,0.6112395357600047
324,Houston St - M,325,Canal St - M,1 Train,32,0.6049985973466541
325,Canal St - M,326,Franklin St - M,1 Train,33,0.396520725563831
326,Franklin St - M,327,Chambers St - M,1 Train,34,0.4717550517869683
327,Chambers St - M,328,WTC Cortlandt - M,1 Train,35,0.4740719952747722
328,WTC Cortlandt - M,329,Rector St - M,1 Train,36,0.4990346372898971
329,Rector St - M,330,South Ferry - M,1 Train,37,0.6055394660235972
416,Wakefield-241 St - Bx,417,Nereid Av - Bx,2 Train,1,0.6149408407275935
417,Nereid Av - Bx,418,233 St - Bx,2 Train,2,0.6326884323751094
418,233 St - Bx,419,225 St - Bx,2 Train,3,0.6234841359289004
419,225 St - Bx,420,219 St - Bx,2 Train,4,0.4977096459550056
420,219 St - Bx,421,Gun Hill Rd - Bx,2 Train,5,0.7379650446876342
421,Gun Hill Rd - Bx,422,Burke Av - Bx,2 Train,6,0.7261243766080401
422,Burke Av - Bx,423,Allerton Av - Bx,2 Train,7,0.6555735258761344
423,Allerton Av - Bx,424,Pelham Pkwy - Bx,2 Train,8,0.9198479816514569
424,Pelham Pkwy - Bx,425,Bronx Park East - Bx,2 Train,9,0.9327266992813633
425,Bronx Park East - Bx,426,E 180 St - Bx,2 Train,10,0.8795284029526211
426,E 180 St - Bx,427,West Farms Sq-E Tremont Av - Bx,2 Train,11,0.5798558228227075
427,West Farms Sq-E Tremont Av - Bx,428,174 St - Bx,2 Train,12,0.7278459793749456
428,174 St - Bx,429,Freeman St - Bx,2 Train,13,0.8824854033873898
429,Freeman St - Bx,430,Simpson St - Bx,2 Train,14,0.6659595327948483
