id,name,Stop Name,Borough,Daytime Routes,Latitude,Longitude,Georeference
293,Van Cortlandt Park-242 - Bx,Van Cortlandt Park-242 St,Bx,1 Train,40.889248,-73.898583,POINT (-73.898583 40.889248)
294,238 St - Bx,238 St,Bx,1 Train,40.884667,-73.90087,POINT (-73.90087 40.884667)
295,231 St - Bx,231 St,Bx,1 Train,40.878856,-73.904834,POINT (-73.904834 40.878856)
296,Marble Hill-225 St - M,Marble Hill-225 St,M,1 Train,40.874561,-73.909831,POINT (-73.909831 40.874561)
297,215 St - M,215 St,M,1 Train,40.869444,-73.915279,POINT (-73.915279 40.869444)
298,207 St - M,207 St,M,1 Train,40.864621,-73.918822,POINT (-73.918822 40.864621)
299,Dyckman St - M,Dyckman St,M,1 Train,40.860531,-73.925536,POINT (-73.925536 40.860531)
300,191 St - M,191 St,M,1 Train,40.855225,-73.929412,POINT (-73.929412 40.855225)
301,181 St - M,181 St,M,1 Train,40.849505,-73.933596,POINT (-73.933596 40.849505)
302,168 St - M,168 St-Washington Hts,M,1 Train,40.840556,-73.940133,POINT (-73.940133 40.840556)
303,157 St - M,157 St,M,1 Train,40.834041,-73.94489,POINT (-73.94489 40.834041)
304,145 St - M,145 St,M,1 Train,40.826551,-73.95036,POINT (-73.95036 40.826551)
305,137 St-City College - M,137 St-City College,M,1 Train,40.822008,-73.953676,POINT (-73.953676 40.822008)
306,125 St - M,125 St,M,1 Train,40.815581,-73.958372,POINT (-73.958372 40.815581)
307,116 St-Columbia University - M,116 St-Columbia University,M,1 Train,40.807722,-73.96411,POINT (-73.96411 40.807722)
308,Cathedral Pkwy (110 St) - M,Cathedral Pkwy (110 St),M,1 Train,40.803967,-73.966847,POINT (-73.966847 40.803967)
309,103 St - M,103 St,M,1 Train,40.799446,-73.968379,POINT (-73.968379 40.799446)
310,96 St - M,96 St,M,1 Train,40.793919,-73.972323,POINT (-73.972323 40.793919)
311,86 St - M,86 St,M,1 Train,40.788644,-73.976218,POINT (-73.976218 40.788644)
312,79 St - M,79 St,M,1 Train,40.783934,-73.979917,POINT (-73.979917 40.783934)
313,72 St - M,72 St,M,1 Train,40.778453,-73.98197,POINT (-73.98197 40.778453)
314,66 St-Lincoln Center - M,66 St-Lincoln Center,M,1 Train,40.77344,-73.982209,POINT (-73.982209 40.77344)
315,59 St-Columbus Circle - M,59 St-Columbus Circle,M,1 Train,40.768247,-73.981929,POINT (-73.981929 40.768247)
316,50 St - M,50 St,M,1 Train,40.761728,-73.983849,POINT (-73.983849 40.761728)
317,Times Sq-42 St - M,Times Sq-42 St,M,1 Train,40.75529,-73.987495,POINT (-73.987495 40.75529)
318,34 St-Penn Station - M,34 St-Penn Station,M,1 Train,40.750373,-73.991057,POINT (-73.991057 40.750373)
319,28 St - M,28 St,M,1 Train,40.747215,-73.993365,POINT (-73.993365 40.747215)
320,23 St - M,23 St,M,1 Train,40.744081,-73.995657,POINT (-73.995657 40.744081)
321,18 St - M,18 St,M,1 Train,40.74104,-73.997871,POINT (-73.997871 40.74104)
322,14 St - M,14 St,M,1 Train,40.737826,-74.000201,POINT (-74.000201 40.737826)
323,Christopher St-Stonewall - M,Christopher St-Stonewall,M,1 Train,40.733422,-74.002906,POINT (-74.002906 40.733422)
324,Houston St - M,Houston St,M,1 Train,40.728251,-74.005367,POINT (-74.005367 40.728251)
325,Canal St - M,Canal St,M,1 Train,40.722854,-74.006277,POINT (-74.006277 40.722854)
326,Franklin St - M,Franklin St,M,1 Train,40.719318,-74.006886,POINT (-74.006886 40.719318)
327,Chambers St - M,Chambers St,M,1 Train,40.715478,-74.009266,POINT (-74.009266 40.715478)
328,WTC Cortlandt - M,WTC Cortlandt,M,1 Train,40.711835,-74.012188,POINT (-74.012188 40.711835)
