service,station,stop
1 Train,Van Cortlandt Park-242,0
1 Train,238 St,1
1 Train,231 St,2
1 Train,Marble Hill-225 St,3
1 Train,215 St,4
1 Train,207 St,5
1 Train,Dyckman St,6
1 Train,191 St,7
1 Train,181 St,8
1 Train,168 St,9
1 Train,157 St,10
1 Train,145 St,11
1 Train,137 St-City College,12
1 Train,125 St,13
1 Train,116 St-Columbia University,14
1 Train,Cathedral Pkwy (110 St),15
1 Train,103 St,16
1 Train,96 St,17
1 Train,86 St,18
1 Train,79 St,19
1 Train,72 St,20
1 Train,66 St-Lincoln Center,21
1 Train,59 St-Columbus Circle,22
1 Train,50 St,23
1 Train,Times Sq-42 St,24
1 Train,34 St-Penn Station,25
1 Train,28 St,26
1 Train,23 St,27
1 Train,18 St,28
1 Train,14 St,29
1 Train,Christopher St-Stonewall,30
1 Train,Houston St,31
1 Train,Canal St,32
1 Train,Franklin St,33
1 Train,Chambers St,34
1 Train,WTC Cortlandt,35
1 Train,Rector St,36
1 Train,South Ferry,37
2 Train,Wakefield-241 St,0
2 Train,Nereid Av,1
2 Train,233 St,2
2 Train,225 St,3
2 Train,219 St,4
2 Train,Gun Hill Rd,5
2 Train,Burke Av,6
2 Train,Allerton Av,7
2 Train,Pelham Pkwy,8
2 Train,Bronx Park East,9
2 Train,E 180 St,10
2 Train,West Farms Sq-E Tremont Av,11
2 Train,174 St,12
2 Train,Freeman St,13
2 Train,Simpson St,14
2 Train,Intervale Av,15
2 Train,Prospect Av,16
2 Train,Jackson Av,17
2 Train,3 Av-149 St,18
2 Train,149 St-Grand Concourse,19
2 Train,135 St,20
2 Train,125 St,21
2 Train,116 St,22
2 Train,Central Park North (110 St),23
2 Train,96 St,24
2 Train,72 St,25
2 Train,Times Sq-42 St,26
2 Train,34 St-Penn Station,27
2 Train,14 St,28
2 Train,Chambers St,29
2 Train,Park Place,30
2 Train,Fulton St,31
2 Train,Wall St,32
2 Train,Clark St,33
2 Train,Borough Hall,34
2 Train,Hoyt St,35
2 Train,Nevins St,36
2 Train,Atlantic Av-Barclays Ctr,37
2 Train,Bergen St,38
2 Train,Grand Army Plaza,39
2 Train,Eastern Pkwy-Brooklyn Museum,40
2 Train,Franklin Av-Medgar Evers College,41
2 Train,President St-Medgar Evers College,42
2 Train,Sterling St,43
2 Train,Winthrop St,44
2 Train,Church Av,45
2 Train,Beverly Rd,46
2 Train,Newkirk Av-Little Haiti,47
2 Train,Flatbush Av-Brooklyn College,48
3 Train,Harlem-148 St,0
3 Train,145 St,1
3 Train,135 St,2
3 Train,125 St,3
3 Train,116 St,4
3 Train,Central Park North (110 St),5
3 Train,96 St,6
3 Train,72 St,7
3 Train,Times Square-42 St,8
3 Train,34 St-Penn Station,9
3 Train,14 St,10
3 Train,Chambers St,11
3 Train,Park Place,12
3 Train,Fulton St,13
3 Train,Wall St,14
3 Train,Clark St,15
3 Train,Borough Hall,16
3 Train,Hoyt St,17
3 Train,Nevins St,18
3 Train,Atlantic Av-Barclays Ctr,19
3 Train,Bergen St,20
3 Train,Grand Army Plaza,21
3 Train,Eastern Parkway-Brooklyn Museum,22
3 Train,Franklin Av-Medgar Evers College,23
3 Train,Nostrand Av,24
3 Train,Kingston Av,25
3 Train,Crown Heights-Utica Av,26
3 Train,Sutter Ave-Rutland Rd,27
3 Train,Saratoga Av,28
3 Train,Rockaway Av,29
3 Train,Junius St,30
3 Train,Pennsylvania Av,31
3 Train,Van Siclen Av,32
3 Train,New Lots Av,33
4 Train,Woodlawn,0
4 Train,Mosholu Pkwy,1
4 Train,Bedford Pk Blvd-Lehman College,2
4 Train,Kingsbridge Rd,3
4 Train,Fordham Rd,4
4 Train,183 St,5
4 Train,Burnside Av,6
4 Train,176 St,7
4 Train,Mt Eden Av,8
4 Train,170 St,9
4 Train,167 St,10
4 Train,161 St-Yankee Stadium,11
4 Train,149 St-Grand Concourse,12
4 Train,138 St-Grand Concourse,13
4 Train,125 St,14
4 Train,86 St,15
4 Train,59 St,16
4 Train,Grand Central-42 St,17
4 Train,14 St-Union Sq,18
4 Train,Brooklyn Bridge-City Hall,19
4 Train,Fulton St,20
4 Train,Wall St,21
4 Train,Bowling Green,22
4 Train,Borough Hall,23
4 Train,Nevins St,24
4 Train,Atlantic Av-Barclays Ctr,25
4 Train,Franklin Av-Medgar Evers College,26
4 Train,Crown Heights-Utica Av,27
5 Train,Eastchester-Dyre Av,0
5 Train,Baychester Av,1
5 Train,Gun Hill Rd,2
5 Train,Pelham Pkwy,3
5 Train,Morris Park,4
5 Train,E 180 St,5
5 Train,West Farms Sq-E Tremont Av,6
5 Train,174 St,7
5 Train,Freeman St,8
5 Train,Simpson St,9
5 Train,Intervale Av,10
5 Train,Prospect Av,11
5 Train,Jackson Av,12
5 Train,3 Av-149 St,13
5 Train,149 St-Grand Concourse,14
5 Train,138 St-Grand Concourse,15
5 Train,125 St,16
5 Train,86 St,17
5 Train,59 St,18
5 Train,Grand Central-42 St,19
5 Train,14 St-Union Sq,20
5 Train,Brooklyn Bridge-City Hall,21
5 Train,Fulton St,22
5 Train,Wall St,23
5 Train,Bowling Green,24
5 Train,Nereid Av,25
5 Train,233 St,26
5 Train,225 St,27
5 Train,219 St,28
5 Train,Gun Hill Rd,29
5 Train,Burke Av,30
5 Train,Allerton Av,31
5 Train,Pelham Pkwy,32
5 Train,Bronx Park East,33
5 Train,Borough Hall,34
5 Train,Nevins St,35
